"","YaleID","Accession.ID"
"435","Yale-4237","EPI_ISL_2020716"
"436","Yale-4248","EPI_ISL_2020726"
"437","Yale-4242","EPI_ISL_2020721"
"438","Yale-4243","EPI_ISL_2020722"
"439","Yale-4240","EPI_ISL_2020719"
"440","Yale-4231","EPI_ISL_2020710"
"441","Yale-4234","EPI_ISL_2020713"
"442","Yale-4239","EPI_ISL_2020718"
"443","Yale-4230","EPI_ISL_2020709"
"444","Yale-4212","EPI_ISL_2020691"
"445","Yale-4228","EPI_ISL_2020707"
"446","Yale-4222","EPI_ISL_2020701"
"447","Yale-4233","EPI_ISL_2020712"
"448","Yale-4217","EPI_ISL_2020696"
"449","Yale-4214","EPI_ISL_2020693"
"450","Yale-4215","EPI_ISL_2020694"
"451","Yale-4899","EPI_ISL_2426109"
"452","Yale-4211","EPI_ISL_2020690"
"453","Yale-4209","EPI_ISL_2020688"
"454","Yale-4213","EPI_ISL_2020692"
"455","Yale-4396","EPI_ISL_2598693"
"456","Yale-4197","EPI_ISL_1963820"
"457","Yale-4200","EPI_ISL_1963823"
"458","Yale-4202","EPI_ISL_1963825"
"459","Yale-4201","EPI_ISL_1963824"
"460","Yale-4168","EPI_ISL_1963795"
"461","Yale-4198","EPI_ISL_1963821"
"462","Yale-4189","EPI_ISL_1963812"
"463","Yale-4171","EPI_ISL_1963798"
"464","Yale-4181","EPI_ISL_1963805"
"465","Yale-4183","EPI_ISL_1963806"
"466","Yale-4165","EPI_ISL_1963792"
"467","Yale-4185","EPI_ISL_1963808"
"468","Yale-4175","EPI_ISL_1963800"
"469","Yale-4162","EPI_ISL_1963789"
"470","Yale-4169","EPI_ISL_1963796"
"471","Yale-4163","EPI_ISL_1963790"
"472","Yale-4135","EPI_ISL_1963766"
"473","Yale-3919","EPI_ISL_1963751"
"474","Yale-3915","EPI_ISL_1963747"
"475","Yale-4125","EPI_ISL_1963761"
"476","Yale-3920","EPI_ISL_1963752"
"477","Yale-3922","EPI_ISL_1963754"
"478","Yale-4127","EPI_ISL_1963763"
"479","Yale-3909","EPI_ISL_1963741"
"480","Yale-4126","EPI_ISL_1963762"
"481","Yale-3926","EPI_ISL_1963758"
"482","Yale-3927","EPI_ISL_1963759"
"483","Yale-3914","EPI_ISL_1963746"
"484","Yale-3849","EPI_ISL_1963730"
"485","Yale-3896","EPI_ISL_1963735"
"486","Yale-3859","EPI_ISL_1963731"
"487","Yale-3880","EPI_ISL_1963733"
"488","Yale-3906","EPI_ISL_1963738"
"489","Yale-4918","EPI_ISL_2501725"
"490","Yale-5324","EPI_ISL_2501705"
"491","Yale-4947","EPI_ISL_2426141"
"492","Yale-4944","EPI_ISL_2426140"
"493","Yale-4937","EPI_ISL_2426135"
"494","Yale-4934","EPI_ISL_2426132"
"495","Yale-4933","EPI_ISL_2426131"
"496","Yale-4939","EPI_ISL_2426137"
"497","Yale-4935","EPI_ISL_2426133"
"498","Yale-4936","EPI_ISL_2426134"
"499","Yale-5331","EPI_ISL_2501663"
"500","Yale-4927","EPI_ISL_2426126"
"501","Yale-4916","EPI_ISL_2426124"
"502","Yale-4915","EPI_ISL_2426123"
"503","Yale-4908","EPI_ISL_2426118"
"504","Yale-4932","EPI_ISL_2426130"
"505","Yale-4928","EPI_ISL_2426127"
"506","Yale-4897","EPI_ISL_2426107"
"507","Yale-4901","EPI_ISL_2426111"
"508","Yale-4905","EPI_ISL_2426115"
"509","Yale-4902","EPI_ISL_2426112"
"510","Yale-4900","EPI_ISL_2426110"
"511","Yale-4891","EPI_ISL_2426105"
"512","Yale-4909","EPI_ISL_2426119"
"513","Yale-4898","EPI_ISL_2426108"
"514","Yale-4889","EPI_ISL_2426103"
"515","Yale-4890","EPI_ISL_2426104"
"516","Yale-4882","EPI_ISL_2426101"
"517","Yale-4879","EPI_ISL_2296466"
"518","Yale-4873","EPI_ISL_2296460"
"519","Yale-4866","EPI_ISL_2296453"
"520","Yale-4867","EPI_ISL_2296454"
"521","Yale-4863","EPI_ISL_2296450"
"522","Yale-4853","EPI_ISL_2296440"
"523","Yale-4851","EPI_ISL_2296438"
"524","Yale-4858","EPI_ISL_2296445"
"525","Yale-4849","EPI_ISL_2296436"
"526","Yale-4842","EPI_ISL_2296429"
"527","Yale-4847","EPI_ISL_2296434"
"528","Yale-4845","EPI_ISL_2296432"
"529","Yale-4841","EPI_ISL_2296428"
"530","Yale-4835","EPI_ISL_2296422"
"531","Yale-4837","EPI_ISL_2296424"
"532","Yale-4829","EPI_ISL_2296416"
"533","Yale-4833","EPI_ISL_2296420"
"534","Yale-4827","EPI_ISL_2296414"
"535","Yale-4821","EPI_ISL_2296408"
"536","Yale-4826","EPI_ISL_2296413"
"537","Yale-4814","EPI_ISL_2296401"
"538","Yale-4813","EPI_ISL_2296400"
"539","Yale-4818","EPI_ISL_2296405"
"540","Yale-4815","EPI_ISL_2296402"
"541","Yale-4812","EPI_ISL_2296399"
"542","Yale-4823","EPI_ISL_2296410"
"543","Yale-4804","EPI_ISL_2296392"
"544","Yale-4808","EPI_ISL_2296395"
"545","Yale-4809","EPI_ISL_2296396"
"546","Yale-4803","EPI_ISL_2296391"
"547","Yale-5312","EPI_ISL_2501726"
"548","Yale-4801","EPI_ISL_2296389"
"549","Yale-4800","EPI_ISL_2296388"
"550","Yale-4799","EPI_ISL_2296387"
"551","Yale-4797","EPI_ISL_2296386"
"552","Yale-4807","EPI_ISL_2296394"
"553","Yale-5329","EPI_ISL_2501683"
"554","Yale-5310","EPI_ISL_2501688"
"555","Yale-5322","EPI_ISL_2501681"
"556","Yale-5316","EPI_ISL_2501689"
"557","Yale-4921","EPI_ISL_2501667"
"558","Yale-5328","EPI_ISL_2501691"
